"Aircraft.Damage","Aircraft.Category","Amateur.Built","Purpose.of.Flight","Weather.Condition","Broad.Phase.of.Flight","Fatal","Engine.Count","Total.Injuries","Total.Passengers"
"Substantial","Airplane","No","Personal","VMC","DESCENT",0,"1",2,2
"Substantial","Airplane","No","Instructional","VMC","TAKEOFF",0,"1",0,2
"Destroyed","Airplane","Yes","Personal","VMC","GO-AROUND",0,"1",2,2
"Substantial","Airplane","No","Personal","VMC","APPROACH",0,"1",0,1
"Substantial","Airplane","No","Personal","VMC","GO-AROUND",0,"1",0,2
"Substantial","Airplane","Yes","Personal","VMC","MANEUVERING",1,"1",1,1
"Substantial","Helicopter","No","Public Aircraft","VMC","LANDING",0,"1",0,2
"Substantial","Airplane","Yes","Personal","VMC","TAXI",0,"1",0,2
"Substantial","Helicopter","No","Personal","VMC","MANEUVERING",0,"1",1,1
"Substantial","Airplane","Yes","Personal","VMC","TAKEOFF",0,"1",2,2
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,1
"Substantial","Airplane","No","Personal","VMC","MANEUVERING",0,"1",1,1
"Substantial","Airplane","No","Public Aircraft","VMC","APPROACH",0,"1",2,2
"Substantial","Airplane","No","Personal","VMC","APPROACH",0,"1",0,2
"Substantial","Airplane","Yes","Personal","VMC","CLIMB",0,"1",2,2
"Destroyed","Airplane","No","Personal","VMC","APPROACH",0,"2+",1,1
"Substantial","Airplane","No","Personal","VMC","APPROACH",0,"1",2,2
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,2
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,4
"Substantial","Airplane","No","Instructional","VMC","LANDING",0,"1",0,2
"Substantial","Airplane","Yes","Personal","VMC","TAKEOFF",0,"1",2,2
"Substantial","Airplane","No","Personal","IMC","CRUISE",1,"1",3,3
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,1
"Substantial","Airplane","No","Instructional","VMC","LANDING",0,"1",2,2
"Substantial","Airplane","No","Personal","VMC","TAXI",0,"1",0,2
"Minor","Airplane","No","Personal","VMC","TAXI",0,"1",0,2
"Substantial","Airplane","Yes","Personal","VMC","TAKEOFF",0,"1",2,2
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",0,1
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",2,2
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",2,2
"Destroyed","Airplane","Yes","Personal","VMC","MANEUVERING",1,"1",1,1
"Destroyed","Airplane","No","Aerial Application","VMC","CRUISE",0,"1",0,1
"Substantial","Airplane","Yes","Personal","VMC","MANEUVERING",1,"1",1,1
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",3,3
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,2
"Substantial","Airplane","No","Personal","VMC","APPROACH",0,"1",0,2
"Substantial","Helicopter","No","Aerial Application","VMC","TAKEOFF",0,"1",0,1
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,2
"Substantial","Airplane","No","Personal","VMC","CLIMB",0,"1",2,2
"Substantial","Airplane","No","Personal","VMC","DESCENT",0,"1",1,2
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",1,"1",1,1
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",0,3
"Substantial","Airplane","Yes","Personal","VMC","APPROACH",0,"1",0,1
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",1,2
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",0,2
"Substantial","Airplane","No","Instructional","VMC","LANDING",0,"1",0,2
"Destroyed","Airplane","No","Ferry","VMC","TAKEOFF",1,"1",2,2
"Substantial","Airplane","No","Aerial Application","VMC","MANEUVERING",0,"1",0,1
"Substantial","Airplane","No","Personal","VMC","CRUISE",0,"1",0,3
"Substantial","Airplane","No","Personal","VMC","GO-AROUND",1,"1",2,2
"Minor","Airplane","No","Instructional","VMC","LANDING",0,"1",0,2
"Substantial","Airplane","No","Other Work Use","VMC","TAKEOFF",1,"1",3,3
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"2+",0,2
"Destroyed","Airplane","Yes","Personal","VMC","MANEUVERING",1,"1",2,2
"Substantial","Airplane","Yes","Personal","VMC","MANEUVERING",1,"1",1,1
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",2,2
