"Aircraft.Damage","Amateur.Built","Purpose.of.Flight","Weather.Condition","Broad.Phase.of.Flight","Event.Year","Fatal","Engine.Count","Total.Injuries","Total.Passengers"
"Substantial","No","Personal","VMC","DESCENT","2001 and later",0,"1",2,2
"Substantial","No","Instructional","VMC","TAKEOFF","2001 and later",0,"1",0,2
"Destroyed","Yes","Personal","VMC","GO-AROUND","2001 and later",0,"1",2,2
"Substantial","No","Personal","VMC","APPROACH","2001 and later",0,"1",0,1
"Substantial","No","Personal","VMC","GO-AROUND","2001 and later",0,"1",0,2
"Substantial","Yes","Personal","VMC","MANEUVERING","2001 and later",1,"1",1,1
"Substantial","No","Public Aircraft","VMC","LANDING","2001 and later",0,"1",0,2
"Substantial","Yes","Personal","VMC","TAXI","2001 and later",0,"1",0,2
"Substantial","No","Personal","VMC","MANEUVERING","2001 and later",0,"1",1,1
"Substantial","Yes","Personal","VMC","TAKEOFF","2001 and later",0,"1",2,2
"Minor","No","Instructional","VMC","LANDING","2001 and later",0,"1",1,2
"Substantial","No","Personal","VMC","LANDING","2001 and later",0,"1",0,1
"Substantial","No","Personal","VMC","MANEUVERING","2001 and later",0,"1",1,1
"Substantial","No","Public Aircraft","VMC","APPROACH","2001 and later",0,"1",2,2
"Substantial","No","Personal","VMC","APPROACH","2001 and later",0,"1",0,2
"Substantial","Yes","Personal","VMC","CLIMB","2001 and later",0,"1",2,2
"Destroyed","No","Personal","VMC","APPROACH","2001 and later",0,"2+",1,1
"Substantial","No","Personal","VMC","APPROACH","2001 and later",0,"1",2,2
"Substantial","No","Personal","VMC","LANDING","2001 and later",0,"1",0,2
"Substantial","No","Personal","VMC","LANDING","2001 and later",0,"1",0,4
"Substantial","No","Instructional","VMC","LANDING","2001 and later",0,"1",0,2
"Substantial","Yes","Personal","VMC","TAKEOFF","2001 and later",0,"1",2,2
"Substantial","No","Personal","IMC","CRUISE","2001 and later",1,"1",3,3
"Substantial","No","Personal","VMC","LANDING","2001 and later",0,"1",0,1
"Substantial","No","Instructional","VMC","LANDING","2001 and later",0,"1",2,2
"Substantial","No","Personal","VMC","TAXI","2001 and later",0,"1",0,2
"Minor","No","Personal","VMC","TAXI","2001 and later",0,"1",0,2
"Substantial","Yes","Personal","VMC","TAKEOFF","2001 and later",0,"1",2,2
"Substantial","No","Personal","VMC","TAKEOFF","2001 and later",0,"1",0,1
"Substantial","No","Personal","VMC","TAKEOFF","2001 and later",0,"1",2,2
"Substantial","No","Personal","VMC","LANDING","2001 and later",0,"1",2,2
"Destroyed","Yes","Personal","VMC","MANEUVERING","2001 and later",1,"1",1,1
